skenario,run_id,langkah,n_susceptible,n_infected,n_patched,n_recovered,rata_vulnerability,rata_user_awareness
Baseline (Tanpa Intervensi),1,1,45,5,0,0,0.6414,0.2596
Baseline (Tanpa Intervensi),1,2,44,6,0,0,0.5331,0.2596
Baseline (Tanpa Intervensi),1,3,43,7,0,0,0.4466,0.2596
Baseline (Tanpa Intervensi),1,4,42,8,0,0,0.3772,0.2596
Baseline (Tanpa Intervensi),1,5,42,8,0,0,0.3213,0.2596
Baseline (Tanpa Intervensi),1,6,42,8,0,0,0.2761,0.2596
Baseline (Tanpa Intervensi),1,7,42,8,0,0,0.2394,0.2596
Baseline (Tanpa Intervensi),1,8,42,8,0,0,0.2095,0.2596
Baseline (Tanpa Intervensi),1,9,42,8,0,0,0.185,0.2596
Baseline (Tanpa Intervensi),1,10,42,8,0,0,0.1649,0.2596
Baseline (Tanpa Intervensi),1,11,42,8,0,0,0.1484,0.2596
Baseline (Tanpa Intervensi),1,12,42,8,0,0,0.1347,0.2596
Baseline (Tanpa Intervensi),1,13,42,7,0,1,0.1217,0.2596
Baseline (Tanpa Intervensi),1,14,42,7,0,1,0.1125,0.2596
Baseline (Tanpa Intervensi),1,15,42,7,0,1,0.1049,0.2596
Baseline (Tanpa Intervensi),1,16,42,7,0,1,0.0984,0.2596
Baseline (Tanpa Intervensi),1,17,41,7,0,2,0.0914,0.2596
Baseline (Tanpa Intervensi),1,18,41,7,0,2,0.0871,0.2596
Baseline (Tanpa Intervensi),1,19,41,7,0,2,0.0834,0.2596
Baseline (Tanpa Intervensi),1,20,41,7,0,2,0.0803,0.2596
Baseline (Tanpa Intervensi),1,21,41,7,0,2,0.0776,0.2596
Baseline (Tanpa Intervensi),1,22,41,7,0,2,0.0754,0.2596
Baseline (Tanpa Intervensi),1,23,41,7,0,2,0.0734,0.2596
Baseline (Tanpa Intervensi),1,24,41,7,0,2,0.0717,0.2596
Baseline (Tanpa Intervensi),1,25,41,7,0,2,0.0703,0.2596
Baseline (Tanpa Intervensi),1,26,41,7,0,2,0.069,0.2596
Baseline (Tanpa Intervensi),1,27,41,6,0,3,0.0672,0.2596
Baseline (Tanpa Intervensi),1,28,41,4,0,5,0.0646,0.2596
Baseline (Tanpa Intervensi),1,29,41,4,0,5,0.0643,0.2596
Baseline (Tanpa Intervensi),1,30,41,4,0,5,0.064,0.2596
Baseline (Tanpa Intervensi),1,31,41,4,0,5,0.0638,0.2596
Baseline (Tanpa Intervensi),1,32,41,4,0,5,0.0635,0.2596
Baseline (Tanpa Intervensi),1,33,41,4,0,5,0.0632,0.2596
Baseline (Tanpa Intervensi),1,34,41,4,0,5,0.0629,0.2596
Baseline (Tanpa Intervensi),1,35,41,4,0,5,0.0626,0.2596
Baseline (Tanpa Intervensi),1,36,41,3,0,6,0.0611,0.2596
Baseline (Tanpa Intervensi),1,37,41,3,0,6,0.061,0.2596
Baseline (Tanpa Intervensi),1,38,41,3,0,6,0.061,0.2596
Baseline (Tanpa Intervensi),1,39,41,3,0,6,0.061,0.2596
Baseline (Tanpa Intervensi),1,40,41,3,0,6,0.061,0.2596
Baseline (Tanpa Intervensi),1,41,41,3,0,6,0.0609,0.2596
Baseline (Tanpa Intervensi),1,42,41,3,0,6,0.0609,0.2596
Baseline (Tanpa Intervensi),1,43,41,2,0,7,0.0592,0.2596
Baseline (Tanpa Intervensi),1,44,41,2,0,7,0.0594,0.2596
Baseline (Tanpa Intervensi),1,45,41,2,0,7,0.0595,0.2596
Baseline (Tanpa Intervensi),1,46,41,2,0,7,0.0596,0.2596
Baseline (Tanpa Intervensi),1,47,41,2,0,7,0.0597,0.2596
Baseline (Tanpa Intervensi),1,48,41,2,0,7,0.0598,0.2596
Baseline (Tanpa Intervensi),1,49,41,2,0,7,0.0598,0.2596
Baseline (Tanpa Intervensi),1,50,41,2,0,7,0.0599,0.2596
Baseline (Tanpa Intervensi),1,51,41,2,0,7,0.0599,0.2596
Baseline (Tanpa Intervensi),1,52,41,2,0,7,0.06,0.2596
Baseline (Tanpa Intervensi),1,53,41,2,0,7,0.06,0.2596
Baseline (Tanpa Intervensi),1,54,41,2,0,7,0.06,0.2596
Baseline (Tanpa Intervensi),1,55,41,2,0,7,0.0601,0.2596
Baseline (Tanpa Intervensi),1,56,41,2,0,7,0.0601,0.2596
Baseline (Tanpa Intervensi),1,57,41,2,0,7,0.0601,0.2596
Baseline (Tanpa Intervensi),1,58,41,2,0,7,0.0601,0.2596
Baseline (Tanpa Intervensi),1,59,41,2,0,7,0.0601,0.2596
Baseline (Tanpa Intervensi),1,60,41,2,0,7,0.0601,0.2596
Baseline (Tanpa Intervensi),1,61,41,2,0,7,0.0601,0.2596
Baseline (Tanpa Intervensi),1,62,41,2,0,7,0.0601,0.2596
Baseline (Tanpa Intervensi),1,63,41,1,0,8,0.0588,0.2596
Baseline (Tanpa Intervensi),1,64,41,1,0,8,0.059,0.2596
Baseline (Tanpa Intervensi),1,65,41,1,0,8,0.0592,0.2596
Baseline (Tanpa Intervensi),1,66,41,1,0,8,0.0593,0.2596
Baseline (Tanpa Intervensi),1,67,41,1,0,8,0.0594,0.2596
Baseline (Tanpa Intervensi),1,68,41,1,0,8,0.0595,0.2596
Baseline (Tanpa Intervensi),1,69,41,1,0,8,0.0596,0.2596
Baseline (Tanpa Intervensi),1,70,41,1,0,8,0.0597,0.2596
Baseline (Tanpa Intervensi),1,71,41,1,0,8,0.0598,0.2596
Baseline (Tanpa Intervensi),1,72,41,1,0,8,0.0598,0.2596
Baseline (Tanpa Intervensi),1,73,41,0,0,9,0.0583,0.2596
Baseline (Tanpa Intervensi),1,74,41,0,0,9,0.0584,0.2596
Baseline (Tanpa Intervensi),1,75,41,0,0,9,0.0586,0.2596
Baseline (Tanpa Intervensi),1,76,41,0,0,9,0.0587,0.2596
Baseline (Tanpa Intervensi),1,77,41,0,0,9,0.0588,0.2596
Baseline (Tanpa Intervensi),1,78,41,0,0,9,0.0589,0.2596
Baseline (Tanpa Intervensi),1,79,41,0,0,9,0.059,0.2596
Baseline (Tanpa Intervensi),1,80,41,0,0,9,0.0591,0.2596
Baseline (Tanpa Intervensi),1,81,41,0,0,9,0.0592,0.2596
Baseline (Tanpa Intervensi),1,82,41,0,0,9,0.0593,0.2596
Baseline (Tanpa Intervensi),1,83,41,0,0,9,0.0594,0.2596
Baseline (Tanpa Intervensi),1,84,41,0,0,9,0.0594,0.2596
Baseline (Tanpa Intervensi),1,85,41,0,0,9,0.0595,0.2596
Baseline (Tanpa Intervensi),1,86,41,0,0,9,0.0595,0.2596
Baseline (Tanpa Intervensi),1,87,41,0,0,9,0.0596,0.2596
Baseline (Tanpa Intervensi),1,88,41,0,0,9,0.0596,0.2596
Baseline (Tanpa Intervensi),1,89,41,0,0,9,0.0597,0.2596
Baseline (Tanpa Intervensi),1,90,41,0,0,9,0.0597,0.2596
Baseline (Tanpa Intervensi),1,91,41,0,0,9,0.0597,0.2596
Baseline (Tanpa Intervensi),1,92,41,0,0,9,0.0598,0.2596
Baseline (Tanpa Intervensi),1,93,41,0,0,9,0.0598,0.2596
Baseline (Tanpa Intervensi),1,94,41,0,0,9,0.0598,0.2596
Baseline (Tanpa Intervensi),1,95,41,0,0,9,0.0598,0.2596
Baseline (Tanpa Intervensi),1,96,41,0,0,9,0.0599,0.2596
Baseline (Tanpa Intervensi),1,97,41,0,0,9,0.0599,0.2596
Baseline (Tanpa Intervensi),1,98,41,0,0,9,0.0599,0.2596
Baseline (Tanpa Intervensi),1,99,41,0,0,9,0.0599,0.2596
Baseline (Tanpa Intervensi),1,100,41,0,0,9,0.0599,0.2596
Baseline (Tanpa Intervensi),1,101,41,0,0,9,0.0599,0.2596
Baseline (Tanpa Intervensi),1,102,40,0,0,10,0.0583,0.2596
Baseline (Tanpa Intervensi),1,103,40,0,0,10,0.0585,0.2596
Baseline (Tanpa Intervensi),1,104,40,0,0,10,0.0587,0.2596
Baseline (Tanpa Intervensi),1,105,40,0,0,10,0.0589,0.2596
Baseline (Tanpa Intervensi),1,106,40,0,0,10,0.059,0.2596
Baseline (Tanpa Intervensi),1,107,40,0,0,10,0.0591,0.2596
Baseline (Tanpa Intervensi),1,108,40,0,0,10,0.0592,0.2596
Baseline (Tanpa Intervensi),1,109,40,0,0,10,0.0593,0.2596
Baseline (Tanpa Intervensi),1,110,40,0,0,10,0.0594,0.2596
Baseline (Tanpa Intervensi),1,111,40,0,0,10,0.0595,0.2596
Baseline (Tanpa Intervensi),1,112,40,0,0,10,0.0596,0.2596
Baseline (Tanpa Intervensi),1,113,40,0,0,10,0.0596,0.2596
Baseline (Tanpa Intervensi),1,114,40,0,0,10,0.0597,0.2596
Baseline (Tanpa Intervensi),1,115,40,0,0,10,0.0597,0.2596
Baseline (Tanpa Intervensi),1,116,40,0,0,10,0.0598,0.2596
Baseline (Tanpa Intervensi),1,117,40,0,0,10,0.0598,0.2596
Baseline (Tanpa Intervensi),1,118,40,0,0,10,0.0598,0.2596
Baseline (Tanpa Intervensi),1,119,40,0,0,10,0.0599,0.2596
Baseline (Tanpa Intervensi),1,120,40,0,0,10,0.0599,0.2596
Baseline (Tanpa Intervensi),1,121,40,0,0,10,0.0599,0.2596
Baseline (Tanpa Intervensi),1,122,40,0,0,10,0.0599,0.2596
Baseline (Tanpa Intervensi),1,123,40,0,0,10,0.0599,0.2596
Baseline (Tanpa Intervensi),1,124,40,0,0,10,0.06,0.2596
Baseline (Tanpa Intervensi),1,125,40,0,0,10,0.06,0.2596
Baseline (Tanpa Intervensi),1,126,40,0,0,10,0.06,0.2596
Baseline (Tanpa Intervensi),1,127,40,0,0,10,0.06,0.2596
Baseline (Tanpa Intervensi),1,128,40,0,0,10,0.06,0.2596
Baseline (Tanpa Intervensi),1,129,40,0,0,10,0.06,0.2596
Baseline (Tanpa Intervensi),1,130,40,0,0,10,0.06,0.2596
Baseline (Tanpa Intervensi),1,131,40,0,0,10,0.06,0.2596
Baseline (Tanpa Intervensi),1,132,40,0,0,10,0.06,0.2596
Baseline (Tanpa Intervensi),1,133,40,0,0,10,0.06,0.2596
Baseline (Tanpa Intervensi),1,134,40,0,0,10,0.06,0.2596
Baseline (Tanpa Intervensi),1,135,40,0,0,10,0.06,0.2596
Baseline (Tanpa Intervensi),1,136,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,137,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,138,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,139,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,140,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,141,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,142,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,143,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,144,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,145,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,146,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,147,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,148,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,149,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,150,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,151,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,152,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,153,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,154,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,155,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,156,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,157,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,158,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,159,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,160,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,161,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,162,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,163,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,164,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,165,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,166,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,167,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,168,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,169,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,170,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,171,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,172,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,173,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,174,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,175,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,176,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,177,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,178,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,179,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,180,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,181,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,182,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,183,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,184,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,185,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,186,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,187,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,188,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,189,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,190,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,191,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,192,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,193,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,194,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,195,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,196,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,197,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,198,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,199,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),1,200,40,0,0,10,0.0601,0.2596
Baseline (Tanpa Intervensi),2,1,45,5,0,0,0.6065,0.2495
Baseline (Tanpa Intervensi),2,2,44,6,0,0,0.5095,0.2495
Baseline (Tanpa Intervensi),2,3,44,6,0,0,0.4313,0.2495
Baseline (Tanpa Intervensi),2,4,44,5,0,1,0.3665,0.2495
Baseline (Tanpa Intervensi),2,5,44,3,0,3,0.3121,0.2495
Baseline (Tanpa Intervensi),2,6,42,5,0,3,0.271,0.2495
Baseline (Tanpa Intervensi),2,7,42,5,0,3,0.2375,0.2495
Baseline (Tanpa Intervensi),2,8,42,4,0,4,0.2082,0.2495
Baseline (Tanpa Intervensi),2,9,42,4,0,4,0.1856,0.2495
Baseline (Tanpa Intervensi),2,10,42,4,0,4,0.1668,0.2495
Baseline (Tanpa Intervensi),2,11,41,4,0,5,0.1497,0.2495
Baseline (Tanpa Intervensi),2,12,41,4,0,5,0.137,0.2495
Baseline (Tanpa Intervensi),2,13,41,4,0,5,0.1264,0.2495
Baseline (Tanpa Intervensi),2,14,41,4,0,5,0.1175,0.2495
Baseline (Tanpa Intervensi),2,15,41,4,0,5,0.11,0.2495
Baseline (Tanpa Intervensi),2,16,40,3,0,7,0.1004,0.2495
Baseline (Tanpa Intervensi),2,17,40,3,0,7,0.0954,0.2495
Baseline (Tanpa Intervensi),2,18,40,3,0,7,0.0912,0.2495
Baseline (Tanpa Intervensi),2,19,40,3,0,7,0.0875,0.2495
Baseline (Tanpa Intervensi),2,20,40,3,0,7,0.0844,0.2495
Baseline (Tanpa Intervensi),2,21,40,3,0,7,0.0818,0.2495
Baseline (Tanpa Intervensi),2,22,40,3,0,7,0.0795,0.2495
Baseline (Tanpa Intervensi),2,23,40,3,0,7,0.0776,0.2495
Baseline (Tanpa Intervensi),2,24,40,3,0,7,0.0759,0.2495
Baseline (Tanpa Intervensi),2,25,40,3,0,7,0.0744,0.2495
Baseline (Tanpa Intervensi),2,26,40,2,0,8,0.0715,0.2495
Baseline (Tanpa Intervensi),2,27,40,2,0,8,0.0706,0.2495
Baseline (Tanpa Intervensi),2,28,40,2,0,8,0.0697,0.2495
Baseline (Tanpa Intervensi),2,29,40,2,0,8,0.069,0.2495
Baseline (Tanpa Intervensi),2,30,40,2,0,8,0.0684,0.2495
Baseline (Tanpa Intervensi),2,31,40,2,0,8,0.0678,0.2495
Baseline (Tanpa Intervensi),2,32,40,2,0,8,0.0674,0.2495
Baseline (Tanpa Intervensi),2,33,40,2,0,8,0.0669,0.2495
Baseline (Tanpa Intervensi),2,34,40,2,0,8,0.0666,0.2495
Baseline (Tanpa Intervensi),2,35,40,2,0,8,0.0663,0.2495
Baseline (Tanpa Intervensi),2,36,40,2,0,8,0.066,0.2495
Baseline (Tanpa Intervensi),2,37,40,2,0,8,0.0657,0.2495
Baseline (Tanpa Intervensi),2,38,40,2,0,8,0.0655,0.2495
Baseline (Tanpa Intervensi),2,39,40,2,0,8,0.0653,0.2495
Baseline (Tanpa Intervensi),2,40,40,2,0,8,0.0651,0.2495
Baseline (Tanpa Intervensi),2,41,40,2,0,8,0.065,0.2495
Baseline (Tanpa Intervensi),2,42,40,2,0,8,0.0648,0.2495
Baseline (Tanpa Intervensi),2,43,40,2,0,8,0.0647,0.2495
Baseline (Tanpa Intervensi),2,44,40,2,0,8,0.0646,0.2495
Baseline (Tanpa Intervensi),2,45,40,2,0,8,0.0645,0.2495
Baseline (Tanpa Intervensi),2,46,40,2,0,8,0.0644,0.2495
Baseline (Tanpa Intervensi),2,47,40,2,0,8,0.0643,0.2495
Baseline (Tanpa Intervensi),2,48,40,2,0,8,0.0643,0.2495
Baseline (Tanpa Intervensi),2,49,40,2,0,8,0.0642,0.2495
Baseline (Tanpa Intervensi),2,50,40,2,0,8,0.0642,0.2495
Baseline (Tanpa Intervensi),2,51,40,0,0,10,0.0618,0.2495
Baseline (Tanpa Intervensi),2,52,40,0,0,10,0.0622,0.2495
Baseline (Tanpa Intervensi),2,53,40,0,0,10,0.0624,0.2495
Baseline (Tanpa Intervensi),2,54,40,0,0,10,0.0627,0.2495
Baseline (Tanpa Intervensi),2,55,40,0,0,10,0.0629,0.2495
Baseline (Tanpa Intervensi),2,56,40,0,0,10,0.063,0.2495
Baseline (Tanpa Intervensi),2,57,40,0,0,10,0.0631,0.2495
Baseline (Tanpa Intervensi),2,58,40,0,0,10,0.0632,0.2495
Baseline (Tanpa Intervensi),2,59,40,0,0,10,0.0633,0.2495
Baseline (Tanpa Intervensi),2,60,40,0,0,10,0.0634,0.2495
Baseline (Tanpa Intervensi),2,61,40,0,0,10,0.0634,0.2495
Baseline (Tanpa Intervensi),2,62,40,0,0,10,0.0635,0.2495
Baseline (Tanpa Intervensi),2,63,40,0,0,10,0.0635,0.2495
Baseline (Tanpa Intervensi),2,64,40,0,0,10,0.0635,0.2495
Baseline (Tanpa Intervensi),2,65,40,0,0,10,0.0636,0.2495
Baseline (Tanpa Intervensi),2,66,40,0,0,10,0.0636,0.2495
Baseline (Tanpa Intervensi),2,67,40,0,0,10,0.0636,0.2495
Baseline (Tanpa Intervensi),2,68,40,0,0,10,0.0636,0.2495
Baseline (Tanpa Intervensi),2,69,39,1,0,10,0.0636,0.2495
Baseline (Tanpa Intervensi),2,70,39,1,0,10,0.0636,0.2495
Baseline (Tanpa Intervensi),2,71,39,1,0,10,0.0636,0.2495
Baseline (Tanpa Intervensi),2,72,39,0,0,11,0.0627,0.2495
Baseline (Tanpa Intervensi),2,73,39,0,0,11,0.0629,0.2495
Baseline (Tanpa Intervensi),2,74,39,0,0,11,0.0631,0.2495
Baseline (Tanpa Intervensi),2,75,39,0,0,11,0.0632,0.2495
Baseline (Tanpa Intervensi),2,76,39,0,0,11,0.0633,0.2495
Baseline (Tanpa Intervensi),2,77,39,0,0,11,0.0634,0.2495
Baseline (Tanpa Intervensi),2,78,39,0,0,11,0.0634,0.2495
Baseline (Tanpa Intervensi),2,79,39,0,0,11,0.0635,0.2495
Baseline (Tanpa Intervensi),2,80,39,0,0,11,0.0635,0.2495
Baseline (Tanpa Intervensi),2,81,39,0,0,11,0.0635,0.2495
Baseline (Tanpa Intervensi),2,82,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,83,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,84,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,85,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,86,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,87,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,88,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,89,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,90,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,91,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,92,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,93,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,94,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,95,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,96,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,97,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,98,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,99,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,100,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,101,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,102,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,103,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,104,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,105,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,106,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,107,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,108,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,109,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,110,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,111,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,112,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,113,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,114,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,115,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,116,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,117,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,118,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,119,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,120,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,121,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,122,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,123,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,124,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,125,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,126,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,127,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,128,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,129,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,130,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,131,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,132,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,133,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,134,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,135,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,136,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,137,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,138,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,139,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,140,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,141,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,142,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,143,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,144,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,145,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,146,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,147,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,148,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,149,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,150,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,151,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,152,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,153,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,154,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,155,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,156,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,157,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,158,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,159,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,160,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,161,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,162,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,163,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,164,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,165,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,166,39,0,0,11,0.0636,0.2495
Baseline (Tanpa Intervensi),2,167,39,0,0,11,0.0636,0.2495
